day,activeSynapses,cumFormed,cumPruned,probeA,probeB,probeNovel,approachIndex,avoidIndex,meanWeight,kcSparsity
0,0,0,0,0.119,0.119,0.119,0.119,0.119,0.000,0.063
1,12,33,21,0.119,0.119,0.119,0.119,0.357,0.500,0.063
2,12,54,42,0.119,0.119,0.119,0.119,0.357,0.500,0.063
3,12,75,63,0.119,0.119,0.119,0.119,0.357,0.500,0.063
4,12,96,84,0.119,0.119,0.119,0.119,0.357,0.500,0.063
5,12,117,105,0.119,0.119,0.119,0.119,0.357,0.500,0.063
6,12,138,126,0.119,0.119,0.119,0.119,0.357,0.500,0.063
7,12,159,147,0.119,0.119,0.119,0.119,0.357,0.500,0.063
