day,activeSynapses,cumFormed,cumPruned,probeA,probeB,probeNovel,approachIndex,avoidIndex,meanWeight,kcSparsity
7,12,12,0,0.832,0.119,0.119,0.357,0.119,0.500,0.063
8,0,12,12,0.119,0.119,0.119,0.119,0.119,0.000,0.063
9,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
10,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
11,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
12,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
13,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
14,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
