day,activeSynapses,cumFormed,cumPruned,probeA,probeB,probeNovel,approachIndex,avoidIndex,meanWeight,kcSparsity
0,0,0,0,0.119,0.119,0.119,0.119,0.119,0.000,0.063
1,0,12,12,0.119,0.119,0.119,0.119,0.119,0.000,0.063
2,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
3,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
4,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
5,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
6,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
7,0,24,24,0.119,0.119,0.119,0.119,0.119,0.000,0.063
