day,active,probeA,probeApunish,netA,probeB,probeBpunish,netB,approachIndex,avoidIndex,netIndex
0,0,0.119,0.119,0.000,0.119,0.119,0.000,0.119,0.119,0.000
1,12,0.832,0.119,0.713,0.119,0.119,0.000,0.357,0.119,0.238
2,12,0.832,0.119,0.713,0.119,0.119,0.000,0.357,0.119,0.238
3,12,0.832,0.119,0.713,0.119,0.119,0.000,0.357,0.119,0.238
4,12,0.832,0.119,0.713,0.119,0.119,0.000,0.357,0.119,0.238
5,12,0.119,0.832,-0.713,0.119,0.119,0.000,0.119,0.357,-0.238
6,12,0.119,0.832,-0.713,0.119,0.119,0.000,0.119,0.357,-0.238
7,12,0.119,0.832,-0.713,0.119,0.119,0.000,0.119,0.357,-0.238
8,12,0.119,0.832,-0.713,0.119,0.119,0.000,0.119,0.357,-0.238
